X1 X2 X3 X4 X5 X6 X7 X8
303.09 24.19 0 3.29 179.99 8.09 360.9 120.33
281.88 38.59 4.29 1.06 192 10.5 353.5 117
277.06 34.79 0 6.85 183.77 38.89 343.95 114.65
276.38 32.43 4.14 2.04 190.79 38.53 341.17 113.91
253.8 39.5 3.04 1 173.8 19.334 382.11 127.373
243.56 34.39 2.79 3.43 166.67 27.59 391.145 130.38
277 34.7 0 6.85 183.78 38.8 343.94 114.65
294.8 28.29 1.85 1.83 182.29 10.29 360.2 120
303 24.2 0 3.3 180 8.1 361 120.34
269.38 36.89 2.99 1.03 197.7 12.59 359.4711 19.82
283.61 28 9.3 0 186.6 13.2 359.418 119.806
290.32 23.2 0.8 2.34 172.4 39.4 353.63 117.87
285.09 25.9 0.93 7.78 180.1 39 345.69 115.23
265.48 40.39 0.95 5.14 184.39 38.83 348.58 116.194
261.87 41.49 2.33 2.89 187.27 38.69 349.062 116.345
274.38 29.79 6.69 0 183.58 38.89 349.97 116.65
257.9 37.2 2.96 1.1 170.9 18.89 383.3 127.769
238.2 29.8 2.6 0.8 166.705 14.14 410.14 136.93
235.98 33.39 5.6 0.39 166.68 15.23 406.97 135.65
247.77 36.69 5.03 1.79 166.68 27.09 386.25 128.75
266.57 36.4 0 2.9 166.68 30.68 365.6 121.88
264.79 24.19 1.19 5.6 166.68 39.69 391.9 130.65
235.68 24.99 0.99 4.29 166.68 39.69 391.97 130.65
239.58 47.89 0.4 4.19 166.68 39.69 376.07 125.35
233.09 46.59 2.29 4.83 166.693 39.69 380.08 126.69
241.37 34.5 5.15 0.39 166.683 39.69 383.76 127.92


